Day-Date,PartyID,PartySht,Party,Party Votes,Party Seats,Total Seats,Party Votes %,Candidate Seats
23rd 19:05,6 , NAT , National Party , 8437 , 38 , 53 , 42.3 , 15
23rd 19:05,5 , LAB , Labour Party , 8020 , 37 , 50 , 40.2 , 13
23rd 19:05,7 , NZF , New Zealand First Party , 1418 , 9 , 9 , 7.1 , 0
23rd 19:05,4 , GP , Green Party , 1245 , 8 , 8 , 6.2 , 0
23rd 19:05,28 , TOP , The Opportunities Party (TOP) , 323 , 0 , 0 , 1.6 , 0
23rd 19:05,10 , MAOR , Māori Party , 232 , 0 , 0 , 1.2 , 0
23rd 19:05,1 , ACT , ACT New Zealand , 81 , 0 , 0 , 0.4 , 0
23rd 19:05,12 , CNSP , Conservative , 60 , 0 , 0 , 0.3 , 0
23rd 19:05,3 , ALCP , Aotearoa Legalise Cannabis Party , 47 , 0 , 0 , 0.2 , 0
23rd 19:05,29 , NZPP , New Zealand People's Party , 29 , 0 , 0 , 0.1 , 0
23rd 19:05,9 , UFNZ , United Future , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,18 , BAN , Ban1080 , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,11 , MANA , MANA , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,27 , NZOP , NZ Outdoors Party , 12 , 0 , 0 , 0.1 , 0
23rd 19:05,8 , NZDSC , Democrats for Social Credit , 9 , 0 , 0 , 0.0 , 0
23rd 19:05,14 , IP , Internet Party , 4 , 0 , 0 , 0.0 , 0
23rd 19:06,6 , NAT , National Party , 9931 , 35 , 53 , 42.4 , 18
23rd 19:06,5 , LAB , Labour Party , 9169 , 37 , 49 , 39.2 , 12
23rd 19:06,4 , GP , Green Party , 1630 , 9 , 9 , 7.0 , 0
23rd 19:06,7 , NZF , New Zealand First Party , 1567 , 8 , 8 , 6.7 , 0
23rd 19:06,28 , TOP , The Opportunities Party (TOP) , 503 , 0 , 0 , 2.1 , 0
23rd 19:06,10 , MAOR , Māori Party , 243 , 0 , 0 , 1.0 , 0
23rd 19:06,1 , ACT , ACT New Zealand , 123 , 0 , 0 , 0.5 , 0
23rd 19:06,12 , CNSP , Conservative , 67 , 0 , 0 , 0.3 , 0
23rd 19:06,3 , ALCP , Aotearoa Legalise Cannabis Party , 56 , 0 , 0 , 0.2 , 0
23rd 19:06,29 , NZPP , New Zealand People's Party , 31 , 0 , 0 , 0.1 , 0
23rd 19:06,11 , MANA , MANA , 20 , 0 , 0 , 0.1 , 0
23rd 19:06,18 , BAN , Ban1080 , 18 , 0 , 0 , 0.1 , 0
23rd 19:06,9 , UFNZ , United Future , 18 , 0 , 0 , 0.1 , 0
23rd 19:06,27 , NZOP , NZ Outdoors Party , 12 , 0 , 0 , 0.1 , 0
23rd 19:06,8 , NZDSC , Democrats for Social Credit , 11 , 0 , 0 , 0.0 , 0
23rd 19:06,14 , IP , Internet Party , 6 , 0 , 0 , 0.0 , 0
23rd 19:10,6 , NAT , National Party , 35848 , 30 , 56 , 45.3 , 26
23rd 19:10,5 , LAB , Labour Party , 29620 , 25 , 47 , 37.4 , 22
23rd 19:10,7 , NZF , New Zealand First Party , 5531 , 9 , 9 , 7.0 , 0
23rd 19:10,4 , GP , Green Party , 4852 , 8 , 8 , 6.1 , 0
23rd 19:10,28 , TOP , The Opportunities Party (TOP) , 1481 , 0 , 0 , 1.9 , 0
23rd 19:10,10 , MAOR , Māori Party , 748 , 0 , 0 , 0.9 , 0
